Gene,OrigName,PIRATE_Cluster,Af293_name,Af293_Evalue,VOG,VOG_Evalue,Pfam_hits,SPROT_name,SPROT_Evalue,SPROT_gene,SPROT_taxa
ASFUM08-12-12-13_002122-T1,Afum_08_12_12_13_mRNA_02087,g000001,NA,NA,NA,NA,zf-Tim10_DDP=1.2e-24,sp|Q4WJX5|TIM10_ASPFU,2.5e-59,TIM10_ASPFU,ASPFU
ASFUM08-12-12-13_008480-T1,Afum_08_12_12_13_mRNA_08332,g000002,NA,NA,NA,NA,Ribosomal_L33=6.6e-07,NA,NA,NA,NA
AF100-12-7_003883-T1,Afum_AF100_12_7_mRNA_03770,g000003,Afu3g06010-T-p1,1.2e-166,NA,NA,EMG1=3.8e-82,sp|Q06287|NEP1_YEAST,3.8e-107,NEP1_YEAST,YEAST
ASFUM08-19-02-30_008624-T1,Afum_08_19_02_30_mRNA_08470,g000004,NA,NA,NA,NA,Cpn10=2.9e-29,sp|P38910|CH10_YEAST,5.5e-34,CH10_YEAST,YEAST
F7763_009746-T1,Afum_F7763_mRNA_09570,g000005,Afu7g03670-T-p1,0,NA,NA,NA,sp|P87121|TAF2_SCHPO,6.1e-67,TAF2_SCHPO,SCHPO
AF100-12-18_004967-T1,Afum_AF100_12_18_mRNA_04838,g000006,Afu5g03710-T-p1,0,NA,NA,CAF1A=2.1e-23,sp|Q12495|RLF2_YEAST,3.8e-26,RLF2_YEAST,YEAST
F17729_000541-T1,Afum_F17729_mRNA_00532,g000007,Afu2g04380-T-p1,3.4e-166,NA,NA,Methyltransf_11=2.7e-06;Methyltransf_23=7.5e-08,NA,NA,NA,NA
AZTEC-9-222_003663-T1,Afum_AZTEC_9_222_mRNA_03485,g000008,Afu3g01580-T-p1,0,VOG02719,3e-46,GMC_oxred_C=7.3e-39;GMC_oxred_N=4.1e-66,sp|Q47944|SDH_GLUOY,1.5e-77,SDH_GLUOY,GLUOY
AF100-12-21_007058-T1,Afum_AF100_12_21_mRNA_06867,g000009,Afu6g13970-T-p1,0,NA,NA,Amino_oxidase=1.8e-07;FAD_binding_3=1.2e-22;UbiA=2.8e-35,sp|Q4WLD1|PYR5_ASPFU,0,PYR5_ASPFU,ASPFU
IFM-62516_005034-T1,Afum_IFM_62516_mRNA_04829,g000010,Afu6g03470-T-p1,0,VOG01495,7.6e-36,ABC_membrane=1.6e-98;ABC_membrane=1.6e-98;ABC_tran=3.3e-72;ABC_tran=3.3e-72,sp|Q4WD46|FSQE_ASPFU,0,FSQE_ASPFU,ASPFU
IFM-58026_008377-T1,Afum_IFM_58026_mRNA_08168,g000011,Afu4g09170-T-p1,0,NA,NA,HCO3_cotransp=6.6e-72;HCO3_cotransp=6.6e-72,sp|Q9HGM6|YHW5_SCHPO,1.8e-136,YHW5_SCHPO,SCHPO
ASFUM117535A-1_000467-T1,Afum_117535A_1_1_mRNA_00459,g000012,Afu2g04380-T-p1,3.3e-166,NA,NA,AAA_18=1.1e-09;Cytidylate_kin=9.9e-07;Methyltransf_11=1.7e-06;Methyltransf_23=6.4e-08;SKI=3.1e-14,sp|Q10242|GNTK_SCHPO,2.1e-35,GNTK_SCHPO,SCHPO
AF100-12-21_005490-T1,Afum_AF100_12_21_mRNA_05333,g000013_1,Afu5g10510-T-p1,0,VOG01495,9.9e-25,ABC_membrane=5e-39;ABC_membrane=5e-39;ABC_tran=4.2e-55;ABC_tran=4.2e-55;Glyco_hydro_92=9e-141;Glyco_hydro_92N=1.5e-53,sp|Q6FWS5|YBT1_CANGA,3.5e-213,YBT1_CANGA,CANGA
IFM-60514_005881-T1,Afum_IFM_60514_mRNA_05739,g000013_2,Afu5g10510-T-p1,0,VOG01495,2.4e-25,ABC_membrane=2.2e-39;ABC_membrane=2.2e-39;ABC_tran=2.9e-55;ABC_tran=2.9e-55,sp|Q6FWS5|YBT1_CANGA,6.3e-217,YBT1_CANGA,CANGA
DMC2AF100-1-18_007294-T1,Afum_DMC2_AF100_1_18_mRNA_07054,g000014,Afu6g01930-T-p1,0,NA,NA,Bac_luciferase=2.7e-57;MFS_1=1.3e-28,sp|E9JFX9|DMOA_HYPSL,1.5e-126,DMOA_HYPSL,HYPSL
B6081_003985-T1,Afum_B6081_mRNA_03818,g000015,Afu6g02340-T-p1,3.7e-263,NA,NA,DUF2461=3.3e-81;NUDIX=2.6e-10,sp|Q12524|PCD1_YEAST,3.6e-26,PCD1_YEAST,YEAST
AZTEC-11-1066_009355-T1,Afum_AZTEC_11_1066_mRNA_09081,g000016,Afu8g04950-T-p1,0,NA,NA,NA,sp|P87121|TAF2_SCHPO,1.4e-264,TAF2_SCHPO,SCHPO
ASFUM08-19-02-46_004206-T1,Afum_08_19_02_46_mRNA_04114,g000017,Afu1g15200-T-p1,0,NA,NA,adh_short=1.4e-32;adh_short_C2=1.4e-44;HSP70=4.5e-12,sp|Q9RPT1|RHLG_PSEAE,6.7e-36,RHLG_PSEAE,PSEAE
IFM-61610_003481-T1,Afum_IFM_61610_mRNA_03408,g000018,Afu3g00900-T-p1,0,NA,NA,Alpha-amylase=8.9e-58;DUF1966=3.7e-33,sp|P0C1B4|AMYA3_ASPOR,1.1e-136,AMYA3_ASPOR,ASPOR
DMC2-AF100-12-9_006130-T1,Afum_DMC2_AF100_12_9_mRNA_06010,g000019_1,Afu2g17000-T-p1,0,NA,NA,AMPK1_CBM=3.8e-11,sp|A1C3L3|FAP1_STRPA,1e-170,FAP1_STRPA,STRPA
ASFUM08-19-02-10_009762-T1,Afum_08_19_02_10_mRNA_10063,g000019_2,NA,NA,NA,NA,NA,NA,NA,NA,NA
IFM-62516_008957-T1,Afum_IFM_62516_mRNA_08681,g000020,Afu8g04910-T-p1,2.2e-283,NA,NA,AA_permease=7.1e-21;AA_permease_2=1.2e-59,sp|P19807|HNM1_YEAST,1.1e-104,HNM1_YEAST,YEAST
SF3S10_003578-T1,Afum_SF3S10_mRNA_03490,g000021,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-37_007107-T1,Afum_AF100_12_37_mRNA_06891,g000022,Afu6g08880-T-p1,0,NA,NA,HECT=4e-81,sp|Q10435|YDE1_SCHPO,2.4e-211,YDE1_SCHPO,SCHPO
AF100-11B_002386-T1,Afum_AF100_11B_mRNA_02280,g000023,Afu1g06800-T-p1,7.8e-199,NA,NA,Aconitase=8.1e-40;Fe-ADH=3.1e-56,sp|Q4WJ90|ACON2_ASPFU,6.5e-140,ACON2_ASPFU,ASPFU
IFM-59359_008260-T1,Afum_IFM_59359_mRNA_07750,g000024,Afu4g06420-T-p1,0,NA,NA,Fungal_trans=3.6e-17;Zn_clus=3.6e-07,NA,NA,NA,NA
AF100-12-21_001346-T1,Afum_AF100_12_21_mRNA_01327,g000025,Afu2g15440-T-p1,2.7e-235,NA,NA,NA,NA,NA,NA,NA
COH-913_004530-T1,Afum_COH_913_mRNA_04412,g000026,Afu3g11770-T-p1,0,NA,NA,ATG22=1.1e-121;MFS_1=5.7e-10,sp|A7KAM9|AT221_PENRW,3.5e-38,AT221_PENRW,PENRW
IFM-62516_002039-T1,Afum_IFM_62516_mRNA_01916,g000027_1,Afu1g04170-T-p1,0,NA,NA,Aminotran_1_2=1.7e-80;Fungal_trans=5.5e-20,sp|P37833|AATC_ORYSJ,5.9e-104,AATC_ORYSJ,ORYSJ
AF100-12-35_001989-T1,Afum_AF100_12_35_mRNA_01918,g000027_2,Afu1g04170-T-p1,0,NA,NA,Aminotran_1_2=2e-80;Fungal_trans=9.7e-20,sp|P37833|AATC_ORYSJ,6e-104,AATC_ORYSJ,ORYSJ
AF106-6-9_002126-T1,Afum_AF106_6_9_mRNA_02012,g000027_3,Afu1g04170-T-p1,0,NA,NA,Fungal_trans=2.6e-20,NA,NA,NA,NA
AF100-12-24_003036-T1,Afum_AF100_12_24_mRNA_02891,g000028,Afu2g14400-T-p1,7e-273,NA,NA,DUF2235=2.3e-85,sp|P39992|YEC3_YEAST,6.6e-45,YEC3_YEAST,YEAST
AF100-11C_003090-T1,Afum_AF100_11C_mRNA_02998,g000029,Afu1g14540-T-p1,1.9e-157,NA,NA,adh_short=1.4e-35;adh_short_C2=9.8e-47;KR=2.8e-07,sp|Q9RPT1|RHLG_PSEAE,4.9e-40,RHLG_PSEAE,PSEAE
ASFUM84-NIH_003910-T1,Afum_84_NIH_mRNA_03841,g000030,Afu2g05980-T-p1,0,NA,NA,Fungal_trans=1e-22;Vps62=1.5e-12,sp|Q06466|TDA6_YEAST,4.8e-64,TDA6_YEAST,YEAST
IFM-61578_009529-T1,Afum_IFM_61578_mRNA_09278,g000031,Afu7g06200-T-p1,0,NA,NA,Ank=1.3e-13;Ank_2=6.1e-13;Ank_3=2e-09,sp|Q505D1|ANR28_MOUSE,4.9e-39,ANR28_MOUSE,MOUSE
DMC2-AF100-2B_004245-T1,Afum_DMC2_AF100_2B_mRNA_04138,g000032,Afu3g11960-T-p1,9.9e-215,NA,NA,Aminotran_5=6.2e-18,sp|A7UX13|EGT2_NEUCR,3.7e-64,EGT2_NEUCR,NEUCR
IFM-60514_004454-T1,Afum_IFM_60514_mRNA_04331,g000033,Afu3g10840-T-p1,0,NA,NA,KH_1=3.9e-09;SF1-HH=1.1e-44;zf-CCHC=3.5e-13;zf-CCHC=3.5e-13,sp|Q4WXV6|BBP_ASPFU,0,BBP_ASPFU,ASPFU
AF100-12-25_005340-T1,Afum_AF100_12_25_mRNA_05168,g000034,Afu5g03960-T-p1,0,NA,NA,Glyco_hydro_18=1.6e-45;LysM=1.8e-10;LysM=1.8e-10,sp|P09805|KTXA_KLULA,4.8e-106,KTXA_KLULA,KLULA
IFM-58026_005701-T1,Afum_IFM_58026_mRNA_05549,g000035,Afu5g09120-T-p1,0,NA,NA,Aa_trans=1e-30,sp|P38680|MTR_NEUCR,2e-44,MTR_NEUCR,NEUCR
IFM-62516_006309-T1,Afum_IFM_62516_mRNA_06087,g000036,Afu5g03050-T-p1,0,NA,NA,adh_short=1.6e-28;adh_short_C2=1.4e-41;adh_short_C2=1.4e-41;KR=1.1e-14;SKIP_SNW=3.6e-73,sp|Q4WEH7|PRP45_ASPFU,0,PRP45_ASPFU,ASPFU
AF100-12-7_001864-T1,Afum_AF100_12_7_mRNA_01804,g000037,Afu1g02490-T-p1,0,NA,NA,MFS_1=1.9e-19;Sugar_tr=3.7e-103,sp|P15325|QUTD_EMENI,3e-70,QUTD_EMENI,EMENI
AFIS-23107-CDC-12_001802-T1,Afum_AFIS_23107_CDC_12_mRNA_01770,g000038,NA,NA,NA,NA,HPP=6.2e-41,sp|Q55EF8|Y9096_DICDI,2.6e-27,Y9096_DICDI,DICDI
