AZTEC-11-1066_000331-T1	14-3-3=3.3e-107
ASFUM08-12-12-13_008444-T1	Epimerase=3.1e-08;NAD_binding_10=3e-10;NmrA=1.3e-07;Semialdhyde_dh=4.8e-07
ASFUM08-19-02-30_010238-T1	Pkinase=2.1e-17;PK_Tyr_Ser-Thr=8.7e-15
ASFUM10-01-02-27_006457-T1	zf-CHY=7.1e-14
ATCC46645_003546-T1	Patatin=8e-15
ASFUM08-12-12-13_007473-T1	DUF846=1.4e-49
ASFUM08-19-02-46_008403-T1	Lipase_GDSL=4.3e-20
ASFUM08-12-12-13_001889-T1	Arf=2e-14;MMR_HSR1=3.2e-09;Ras=1.3e-64;Roc=1.2e-36
ASFUM08-19-02-46_002012-T1	DER1=1.2e-50
ASFUM08-19-02-46_004673-T1	Ribonuc_L-PSP=4.4e-12
ASFUM08-12-12-13_003522-T1	DUF1993=1.2e-60
AF100-10A_002968-T1	TP_methylase=7.6e-18
ASFUM12-7504462_001920-T1	F-box=1.1e-06;F-box-like=1.2e-07
ASFUM08-12-12-13_004099-T1	Pro_isomerase=2.6e-51
AF100-12-18_003509-T1	Dynamin_M=3.6e-26;Dynamin_N=1.8e-39
AF106-6-9_005547-T1	NDUF_B12=1.4e-28
CM2495_004025-T1	SNARE=1.3e-14;Syntaxin-5_N=8.4e-12
ASFUM08-12-12-13_002482-T1	Ribosomal_L32p=5.2e-15
ASFUM08-12-12-13_010057-T1	Dabb=9.7e-24
ASFUM08-12-12-13_008257-T1	FmiP_Thoc5=2.3e-32
ASFUM08-12-12-13_007370-T1	Cid2=3.7e-56
CM237_006559-T1	DNA_pol_A_exo1=6.5e-15
ASFUM08-12-12-13_003372-T1	HSP9_HSP12=3.9e-27
ASFUM12-7504462_003497-T1	SUR7=6.5e-14
ASFUM08-12-12-13_005843-T1	DUF3632=4.5e-44
ASFUM08-12-12-13_004548-T1	RNase_T=1.9e-28
ASFUM09-7500806_000025-T1	APH=7.5e-13
ASFUM08-36-03-25_002342-T1	Steroid_dh=2.6e-15
ASFUM08-12-12-13_000372-T1	Ribosomal_S21e=8.1e-43
ASFUM08-12-12-13_004867-T1	Thioredoxin=1.1e-28
ASFUM08-12-12-13_006739-T1	Peptidase_M20=1.3e-07;Peptidase_M28=5.3e-30
ASFUM08-12-12-13_000340-T1	IATP=2.1e-31
CM2141_000057-T1	Helicase_C=7.4e-16;SNF2-rel_dom=4.4e-67;zf-C3HC4=1.5e-08;zf-C3HC4_2=8.9e-09;zf-C3HC4_3=6.3e-09;zf-RING_UBOX=3.1e-08
ASFUM08-19-02-46_000293-T1	DUF498=2e-33
ASFUM08-12-12-13_007103-T1	zf-CSL=1e-19
ASFUM08-12-12-13_007410-T1	Prefoldin_2=8.6e-20
ASFUM12-7504462_007989-T1	adh_short=6e-50;adh_short_C2=1.4e-59;KR=5.3e-13
CM2141_000094-T1	AAA=3.5e-06;Ank=2e-32;Ank=2e-32;Ank=2e-32;Ank=2e-32;Ank=2e-32;Ank=2e-32;Ank_2=4.9e-36;Ank_2=4.9e-36;Ank_2=4.9e-36;Ank_4=2.8e-30;Ank_4=2.8e-30;Ank_4=2.8e-30;Ank_4=2.8e-30;NACHT=1.6e-13;PNP_UDP_1=7.2e-08
ASFUM08-12-12-13_008086-T1	RNA_pol_L=5e-18;RNA_pol_L_2=1.3e-34
AF100-12-4_000946-T1	QCR10=3.1e-28
ASFUM08-36-03-25_003928-T1	Aminotran_3=6.7e-115
ASFUM08-12-12-13_002431-T1	CHZ=6.3e-19
ASFUM08-12-12-13_007941-T1	CVNH=3.2e-16
A1163_007843-T1	DUF3435=9.9e-145
ASFUM08-12-12-13_007374-T1	DNA_RNApol_7kD=8.6e-19
ASFUM117535A-1_003100-T1	BTB=1.2e-10
NCPF-7820_005673-T1	PRP38=2.4e-67
ASFUM08-12-12-13_003195-T1	UQ_con=2.7e-12
ASFUM08-12-12-13_008856-T1	TFA2_Winged_2=1.5e-23;TFIIE_beta=1.2e-20
ASFUM08-12-12-13_002726-T1	Ribosomal_L6e=6.3e-42
ASFUM08-12-12-13_007149-T1	Longin=1.9e-14;Synaptobrevin=1.2e-15
