Gene,OrigName,PIRATE_Cluster,Af293_name,Af293_Evalue,VOG,VOG_Evalue,Pfam_hits,SPROT_name,SPROT_Evalue,SPROT_gene,SPROT_taxa,Kingdom,taxon_id,Species
ASFUM08-12-12-13_002122-T1,Afum_08_12_12_13_mRNA_02087,g000001,NA,NA,NA,NA,zf-Tim10_DDP=1.2e-24,sp|Q4WJX5|TIM10_ASPFU,2.5e-59,TIM10_ASPFU,ASPFU,Eukaryota,330879,Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100)
ASFUM08-12-12-13_008480-T1,Afum_08_12_12_13_mRNA_08332,g000002,NA,NA,NA,NA,Ribosomal_L33=6.6e-07,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-30_008624-T1,Afum_08_19_02_30_mRNA_08470,g000004,NA,NA,NA,NA,Cpn10=2.9e-29,sp|P38910|CH10_YEAST,5.5e-34,CH10_YEAST,YEAST,Eukaryota,559292,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
ASFUM08-19-02-10_009762-T1,Afum_08_19_02_10_mRNA_10063,g000019_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF3S10_003578-T1,Afum_SF3S10_mRNA_03490,g000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFIS-23107-CDC-12_001802-T1,Afum_AFIS_23107_CDC_12_mRNA_01770,g000038,NA,NA,NA,NA,HPP=6.2e-41,sp|Q55EF8|Y9096_DICDI,2.6e-27,Y9096_DICDI,DICDI,Eukaryota,44689,Dictyostelium discoideum
CEA10_003274-T1,Afum_CEA10_mRNA_03084,g000059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO78722EXP_001900-T1,Afum_MO78722EXP_mRNA_01857,g000065,NA,NA,NA,NA,MRP-L28=5.4e-08,NA,NA,NA,NA,NA,NA,NA
DMC2-AF100-1-20-OE_009943-T1,Afum_DMC2_AF100_1_20_OE_mRNA_09777,g000097,NA,NA,NA,NA,Cgr1=3.9e-31,sp|Q9HEQ8|CGR1_ASPFU,2.7e-65,CGR1_ASPFU,ASPFU,Eukaryota,330879,Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100)
AF293_005928-T1,Afum_AF293_mRNA_05821,g000108_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF2S9_001757-T1,Afum_SF2S9_mRNA_01698,g000139,NA,NA,NA,NA,FAD_binding_4=2.1e-13,NA,NA,NA,NA,NA,NA,NA
AZTEC-10-245_008044-T1,Afum_AZTEC_10_245_mRNA_07858,g000153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM2141_004914-T1,Afum_CM2141_mRNA_04747,g000182,NA,NA,NA,NA,Pho88=9.3e-43,NA,NA,NA,NA,NA,NA,NA
D17_004500-T1,Afum_D17_mRNA_04392,g000189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B5288-CDC-16_000001-T1,Afum_B5288_CDC_16_mRNA_00001,g000216_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-11C_003437-T1,Afum_AF100_11C_mRNA_10027,g000216_2,NA,NA,VOG00190,5.9e-31,Helicase_C=6.7e-10;SNF2-rel_dom=6.8e-22,sp|O10302|GTA_NPVOP,3e-21,GTA_NPVOP,NPVOP,Virus,262177,Orgyia pseudotsugata multicapsid polyhedrosis virus
A1159_010233-T1,Afum_A1159_mRNA_10025,g000258,NA,NA,NA,NA,Laminin_G_3=2.9e-28;Laminin_G_3=2.9e-28,NA,NA,NA,NA,NA,NA,NA
DMC2-AF100-1-20-OE_006406-T1,Afum_DMC2_AF100_1_20_OE_mRNA_06285,g000296,NA,NA,NA,NA,DUF3435=9.9e-54,NA,NA,NA,NA,NA,NA,NA
AF300_008772-T1,Afum_AF300_mRNA_08581,g000307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W72310_000958-T1,Afum_W72310_mRNA_00940,g000334_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B7594-CDC-27_004756-T1,Afum_B7594_CDC_27_mRNA_04672,g000348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IFM-60514_002189-T1,Afum_IFM_60514_mRNA_02116,g000361,NA,NA,NA,NA,Rdx=2.2e-22,NA,NA,NA,NA,NA,NA,NA
A1163_006682-T1,Afum_A1163_mRNA_06487,g000377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B5859_005581-T1,Afum_B5859_mRNA_05436,g000405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM3720_006283-T1,Afum_CM3720_mRNA_06100,g000458_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F7763_000075-T1,Afum_F7763_mRNA_00075,g000463_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFUG-031815-1869_005206-T1,Afum_AFUG_031815_1869_mRNA_04975,g000488_2,NA,NA,NA,NA,Arb2=1.4e-12,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_003695-T1,Afum_08_12_12_13_mRNA_03622,g000489,NA,NA,NA,NA,Glyco_hydro_106=1.6e-36;Glyco_hydro_106=1.6e-36,NA,NA,NA,NA,NA,NA,NA
DMC2AF100-1-18_009727-T1,Afum_DMC2_AF100_1_18_mRNA_09429,g000494,NA,NA,NA,NA,HSF_DNA-bind=6.5e-17,NA,NA,NA,NA,NA,NA,NA
CM2730_004849-T1,Afum_CM2730_mRNA_04682,g000585_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F21857_006937-T1,Afum_F21857_mRNA_06777,g000604_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-30_009682-T1,Afum_08_19_02_30_mRNA_09508,g000619_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMC2AF100-1-15_004350-T1,Afum_DMC2_AF1001_15_mRNA_04241,g000619_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM1F1SW-F4_009528-T1,Afum_1F1SW_F4_mRNA_09363,g000632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F7763_005834-T1,Afum_F7763_mRNA_05714,g000732_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IFM-59361_010717-T1,Afum_IFM_59361_mRNA_10224,g000735_2,NA,NA,NA,NA,CVNH=7.7e-12,NA,NA,NA,NA,NA,NA,NA
AF100-10C_001724-T1,Afum_AF100_10C_mRNA_10070,g000738,NA,NA,NA,NA,CorA=1.9e-11,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_010298-T1,Afum_08_12_12_13_mRNA_10115,g000741,NA,NA,NA,NA,AAA=4.1e-06,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_010301-T1,Afum_08_12_12_13_mRNA_10118,g000761,NA,NA,NA,NA,Methyltransf_11=4.6e-07;Methyltransf_25=2.2e-09,NA,NA,NA,NA,NA,NA,NA
AF100-12-23_000159-T1,Afum_AF100_12_23_mRNA_00157,g000771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-37_007303-T1,Afum_AF100_12_37_mRNA_07085,g000836,NA,NA,NA,NA,RNase_P_Rpp14=2.9e-38,NA,NA,NA,NA,NA,NA,NA
CM2495_007681-T1,Afum_CM2495_mRNA_07505,g000903,NA,NA,NA,NA,APH=6.2e-10,sp|Q6C8T3|AIM9_YARLI,4.6e-24,AIM9_YARLI,YARLI,Eukaryota,284591,Yarrowia lipolytica (strain CLIB 122 / E 150)
Afu-218-E11_009976-T1,Afum_Afu_218_E11_mRNA_09781,g000968_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMB-35Aa_009310-T1,Afum_LMB_35Aa_mRNA_09148,g000979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF90_001747-T1,Afum_AF90_mRNA_01697,g001050,NA,NA,NA,NA,Fungal_trans=4.3e-30;Zn_clus=5.3e-06,sp|P52958|CTF1A_FUSVN,2.5e-45,CTF1A_FUSVN,FUSVN,Eukaryota,2747968,Fusarium vanettenii
Afu-343-P-11_009779-T1,Afum_Afu_343_P_11_mRNA_09577,g001060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZTEC-12-128_002664-T1,Afum_AZTEC_12_128_mRNA_02531,g001075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IFM-58401_001132-T1,Afum_IFM_58401_mRNA_01114,g001080,NA,NA,NA,NA,NA,sp|B0XT09|GEL3_ASPFC,9.3e-25,GEL3_ASPFC,ASPFC,Eukaryota,451804,Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163)
SF2S9_006403-T1,Afum_SF2S9_mRNA_06250,g001140_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM2141_003262-T1,Afum_CM2141_mRNA_03137,g001146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CF098_009520-T1,Afum_CF098_mRNA_09446,g001167_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMC2AF100-1-3_009447-T1,Afum_DMC2_AF100_1_3_mRNA_09108,g001167_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-11B_005199-T1,Afum_AF100_11B_mRNA_05031,g001170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IFM-60237_002374-T1,Afum_IFM_60237_mRNA_02166,g001174_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF300_002452-T1,Afum_AF300_mRNA_02372,g001216,NA,NA,NA,NA,DUF2293=9.1e-32,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-46_004569-T1,Afum_08_19_02_46_mRNA_04468,g001253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F14403_007663-T1,Afum_F14403_mRNA_07510,g001258,NA,NA,NA,NA,OTT_1508_deam=4.5e-11,NA,NA,NA,NA,NA,NA,NA
ASFUM09-7500806_008040-T1,Afum_09_7500806_mRNA_07820,g001259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_005056-T1,Afum_08_12_12_13_mRNA_04965,g001263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM09-7500806_009882-T1,Afum_09_7500806_mRNA_09637,g001294_1,NA,NA,NA,NA,AAA_11=3.7e-40;AAA_11=3.7e-40;AAA_12=5e-48;AAA_19=2.1e-15;AAA_30=4e-13;RdRP=2.9e-113;ResIII=1.5e-07,sp|Q9LQV2|RDR1_ARATH,5.7e-73,RDR1_ARATH,ARATH,Eukaryota,3702,Arabidopsis thaliana
CM3262_009534-T1,Afum_CM3262_mRNA_09343,g001294_2,NA,NA,NA,NA,AAA_11=1.5e-38;AAA_11=1.5e-38;AAA_12=1.1e-47;AAA_19=4.1e-15;AAA_30=3e-13;RdRP=1.2e-110;ResIII=2.7e-08,sp|Q0DXS3|RDR1_ORYSJ,4.9e-70,RDR1_ORYSJ,ORYSJ,Eukaryota,39947,Oryza sativa subsp. japonica
ASFUM08-19-02-46_002530-T1,Afum_08_19_02_46_mRNA_02471,g001309,NA,NA,NA,NA,Fungal_trans_2=1e-75;Zn_clus=3.7e-08,NA,NA,NA,NA,NA,NA,NA
B5859_005022-T1,Afum_B5859_mRNA_04884,g001332,NA,NA,NA,NA,CHAT=1.1e-35,NA,NA,NA,NA,NA,NA,NA
CM2141_006319-T1,Afum_CM2141_mRNA_06113,g001351,NA,NA,NA,NA,GST_C=3.8e-11;GST_C_2=3.8e-07,NA,NA,NA,NA,NA,NA,NA
A1163_009950-T1,Afum_A1163_mRNA_09697,g001411_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMC2AF100-1-15_001707-T1,Afum_DMC2_AF1001_15_mRNA_10234,g001411_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-46_002678-T1,Afum_08_19_02_46_mRNA_02619,g001417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1163_007867-T1,Afum_A1163_mRNA_07653,g001420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_007855-T1,Afum_08_12_12_13_mRNA_07717,g001426_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F7763_007678-T1,Afum_F7763_mRNA_07536,g001450_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCPF-7816_007808-T1,Afum_NCPF_7816_mRNA_07644,g001497_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-61_006457-T1,Afum_08_19_02_61_mRNA_06338,g001497_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-30_003684-T1,Afum_08_19_02_30_mRNA_03607,g001525,NA,NA,NA,NA,Zn_clus=7.7e-09,NA,NA,NA,NA,NA,NA,NA
DMC2AF100-1-18_006962-T1,Afum_DMC2_AF100_1_18_mRNA_06744,g001538_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_009560-T1,Afum_08_12_12_13_mRNA_09393,g001552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IFM-61407_003885-T1,Afum_IFM_61407_mRNA_03676,g001556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W72310_007428-T1,Afum_W72310_mRNA_07100,g001597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-7G_004190-T1,Afum_AF100_12_7G_mRNA_03985,g001668_1,NA,NA,NA,NA,p450=5.9e-45;p450=5.9e-45,sp|A0A1L9WN72|ACUD_ASPA1,3.2e-75,ACUD_ASPA1,ASPA1,Eukaryota,690307,Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094)
W72310_003988-T1,Afum_W72310_mRNA_03745,g001668_2,NA,NA,NA,NA,p450=2.9e-42;p450=2.9e-42,sp|A0A1L9WN72|ACUD_ASPA1,3.6e-71,ACUD_ASPA1,ASPA1,Eukaryota,690307,Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094)
AFUG-100413-0667_003827-T1,Afum_AFUG_100413_0667_mRNA_03756,g001713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMC2AF100-1-3_008905-T1,Afum_DMC2_AF100_1_3_mRNA_08573,g001717,NA,NA,NA,NA,Peroxidase_2=6.2e-46,NA,NA,NA,NA,NA,NA,NA
IFM-61610_004729-T1,Afum_IFM_61610_mRNA_04634,g001733,NA,NA,VOG06156,1.2e-58,GTP_cyclohydroI=2.1e-71,sp|O13774|GCH1_SCHPO,1.4e-71,GCH1_SCHPO,SCHPO,Eukaryota,284812,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
B6894-CDC-5_004926-T1,Afum_B6894_CDC_5_mRNA_04825,g001736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_003051-T1,Afum_08_12_12_13_mRNA_02994,g001747,NA,NA,NA,NA,CYSTM=1.6e-08,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-30_003455-T1,Afum_08_19_02_30_mRNA_03386,g001807_1,NA,NA,NA,NA,DUF3435=5.8e-161,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_001766-T1,Afum_08_12_12_13_mRNA_10122,g001807_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-37_004888-T1,Afum_AF100_12_37_mRNA_04725,g001880,NA,NA,NA,NA,adh_short=3.9e-23;adh_short_C2=7.7e-10;KR=4.2e-11,sp|Q5BE65|TSC10_EMENI,1.7e-28,TSC10_EMENI,EMENI,Eukaryota,227321,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)
AF100-12-7G_003758-T1,Afum_AF100_12_7G_mRNA_03559,g001906,NA,NA,NA,NA,Abhydrolase_1=1.6e-17;Abhydrolase_6=2.6e-17;Hydrolase_4=2.7e-12,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-30_009664-T1,Afum_08_19_02_30_mRNA_09490,g001925,NA,NA,NA,NA,Pkinase=2.3e-09,NA,NA,NA,NA,NA,NA,NA
DMC2AF100-1-15_003324-T1,Afum_DMC2_AF1001_15_mRNA_10247,g001928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-10_001728-T1,Afum_AF100_12_10_mRNA_10037,g002075,NA,NA,NA,NA,Fungal_trans=1.8e-12,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-46_003173-T1,Afum_08_19_02_46_mRNA_03108,g002081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO79587EXP_008835-T1,Afum_MO79587EXP_mRNA_08658,g002087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_009123-T1,Afum_08_12_12_13_mRNA_08969,g002148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_010302-T1,Afum_08_12_12_13_mRNA_10119,g002150,NA,NA,NA,NA,Gln-synt_C=2e-46,sp|P38094|FLUG_EMENI,4.4e-49,FLUG_EMENI,EMENI,Eukaryota,227321,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)
ASFUM08-19-02-30_010290-T1,Afum_08_19_02_30_mRNA_10097,g002160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-38_006335-T1,Afum_AF100_12_38_mRNA_06161,g002163,NA,NA,NA,NA,ketoacyl-synt=1.3e-08;Ketoacyl-synt_C=1.7e-27,sp|Q05470|PKSL_BACSU,4.8e-103,PKSL_BACSU,BACSU,Bacteria,224308,Bacillus subtilis (strain 168)
Af65_001407-T1,Afum_Af65_mRNA_01390,g002175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFUG-100413-0667_000310-T1,Afum_AFUG_100413_0667_mRNA_00307,g002215_2,NA,NA,VOG18791,2.7e-32,AAA=8e-20,NA,NA,NA,NA,NA,NA,NA
CM6458_002101-T1,Afum_CM6458_mRNA_02024,g002247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
