SampleID	CONTIG_COUNT	TOTAL_LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	GC%	T2T_SCAFFOLDS	TELOMERE_FWD	TELOMERE_REV	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes
AF106.1	16298	24227291	500	14428	1138	1486.52	4125	1837	12362	741	50.59	NA	19	16	46.2	46.2	0.0	15.2	38.6	4191
AF106.2	10134	26541138	500	20495	1940	2619.02	2221	3699	6926	1238	50.38	NA	11	25	72.6	72.6	0.0	10.7	16.7	4191
AF106.3	19442	20214292	500	8364	871	1039.72	6026	1127	15787	611	50.89	NA	11	19	24.1	24.1	0.0	16.7	59.2	4191
AF106.4	19171	17632272	500	7896	785	919.74	6335	962	15886	576	51.04	NA	16	13	18.0	18.0	0.0	14.7	67.3	4191
AF106.5	14432	25689944	500	13936	1360	1780.07	3540	2289	10626	875	50.48	NA	11	22	55.5	55.5	0.0	15.9	28.6	4191
AF106.6-10	4	9264	532	5753	2230	2316.00	1	5753	3	749	55.33	NA	NA	NA	NA	NA	NA	NA	NA	NA
AF106.6-2	1342	28158843	500	204816	9839	20982.74	180	46569	608	12537	49.64	NA	5	8	97.9	97.8	0.1	0.9	1.2	4191
AF106.6-3	1690	28283857	501	190352	6616	16736.01	217	39322	713	10325	49.57	NA	20	9	97.2	97.2	0.0	1.0	1.8	4191
AF106.6-4	1451	28529068	500	250179	8256	19661.66	188	44705	620	12177	49.43	NA	11	22	97.2	97.2	0.0	1.0	1.8	4191
AF106.6-5	999	28152461	503	303446	16462	28180.64	157	56806	502	16406	49.44	NA	6	2	97.5	97.4	0.1	1.0	1.5	4191
AF106.6-5G	17815	15024557	500	4432	735	843.37	6204	860	14968	557	51.08	NA	16	14	11.8	11.8	0.0	11.6	76.6	4191
AF106.6-7	2	8983	1099	7884	7884	4491.50	1	7884	2	1099	54.48	NA	NA	NA	NA	NA	NA	NA	NA	NA
AF106.6-9	1378	28070294	504	254983	9482	20370.31	184	46208	621	12146	49.70	NA	12	12	97.6	97.6	0.0	0.8	1.6	4191
AF106.7-10	15271	25250273	500	13069	1288	1653.48	3867	2080	11415	829	50.42	NA	14	21	49.6	49.6	0.0	17.7	32.7	4191
AF106.7-12	18177	23322080	500	10178	1038	1283.05	5101	1496	14226	688	50.61	NA	25	18	36.8	36.8	0.0	18.7	44.5	4191
AF106.7-15	17636	14630338	500	4991	726	829.57	6232	841	14862	557	50.87	NA	18	16	9.9	9.9	0.0	12.0	78.1	4191
AF106.7-18	19406	18026624	500	5184	799	928.92	6411	974	16059	580	50.83	NA	26	16	15.8	15.8	0.0	14.7	69.5	4191
AF106.7-22	19316	21468144	500	8478	922	1111.42	5805	1237	15508	632	50.68	NA	11	19	26.9	26.9	0.0	18.1	55.0	4191
AF106.7-2_2	19615	21264599	500	6778	904	1084.10	5978	1194	15819	624	50.78	NA	25	16	25.6	25.6	0.0	16.8	57.6	4191
AF106.7-4	15808	24780387	500	13147	1223	1567.59	4048	1937	11907	790	50.56	NA	11	20	48.7	48.6	0.1	19.4	31.9	4191
AF106.7-8	8294	27009529	500	23975	2350	3256.51	1740	4785	5511	1544	50.29	NA	27	10	77.6	77.6	0.0	9.7	12.7	4191
AF106.7-S	15804	24834141	500	16103	1229	1571.38	4052	1956	11903	790	50.57	NA	18	18	48.7	48.7	0.0	18.3	33.0	4191
AF106.7-Y2	15267	25163235	500	10884	1286	1648.21	3871	2082	11418	826	50.45	NA	23	13	48.7	48.7	0.0	18.3	33.0	4191
AF106.7-Y4	18981	24078963	500	8661	1025	1268.58	5325	1476	14870	681	50.50	NA	13	32	34.2	34.1	0.1	18.8	47.0	4191
AF110.1	2644	27963971	500	121490	5326	10576.39	370	23915	1250	6073	49.81	NA	16	12	96.3	96.3	0.0	1.6	2.1	4191
AF110.2	14385	26132917	500	13742	1396	1816.68	3503	2330	10570	890	50.41	NA	17	20	55.0	55.0	0.0	16.2	28.8	4191
AF110.3	17013	24410084	500	9747	1138	1434.79	4540	1744	13039	743	50.54	NA	23	22	42.7	42.7	0.0	17.9	39.4	4191
AF110.4-14H	3227	27354425	500	66972	5422	8476.74	563	14722	1839	4349	50.21	NA	10	13	93.9	93.8	0.1	2.6	3.5	4191
AF110.4-2H	10474	26835602	500	20428	1896	2562.12	2336	3605	7252	1228	50.35	NA	21	12	69.7	69.6	0.1	13.4	16.9	4191
AF110.5-1_1	13064	26302939	500	16315	1517	2013.39	3062	2672	9389	962	50.39	NA	21	15	60.2	60.2	0.0	14.3	25.5	4191
AF110.5-3	15494	25324055	500	12338	1246	1634.44	3851	2063	11581	814	50.50	NA	9	25	51.5	51.5	0.0	15.5	33.0	4191
AF110.6-1	9774	27351942	500	28268	1999	2798.44	2057	4101	6579	1301	50.30	NA	16	11	74.1	74.0	0.1	10.5	15.4	4191
AF110.6-2	4056	27818309	500	119723	4270	6858.56	669	12070	2300	3385	50.16	NA	10	10	92.0	91.9	0.1	3.5	4.5	4191
AF110.6-3	16067	25408827	500	37066	1186	1581.43	3907	1944	12056	779	50.49	NA	23	13	50.0	49.9	0.1	16.2	33.8	4191
AF110.6-4	5460	27627661	501	51749	3391	5060.01	1007	8332	3321	2467	50.25	NA	13	13	88.1	88.0	0.1	4.9	7.0	4191
AF110.6-7	3808	27764693	500	113641	4456	7291.15	628	13262	2133	3573	50.20	NA	10	6	93.2	93.1	0.1	3.0	3.8	4191
