SampleID	Strain	CONTIG COUNT	L50	L90	MAX	MEAN	MEDIAN	MIN	N50	N90	TOTAL LENGTH 	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes
IFM_59359	IFM_59359	2482	150	610	274857	11489.37	1023	500	54339	9253	28516613	95.3	95.2	0.1	2.5	2.2	4046
IFM_61407	IFM_61407	2859	141	649	317166	9922.94	998	492	53240	7324	28369686	95.3	95.2	0.1	2.9	1.8	4046
SRR5676592	MO91298SB	194	19	54	1102163	141608.65	10559	510	532557	132652	27472078	96.3	96.2	0.1	0.3	3.4	4046
DRR022925	IFM_59361-1	602	25	92	1421506	47905.41	1690	502	345799	80075	28839057	96.5	96.4	0.1	0.4	3.1	4046
IFM_59356-2	IFM_59356-2	1446	169	600	228574	19609.19	7434	502	48532	12167	28354883	96.8	96.7	0.1	1.6	1.6	4046
ERR769504	12-7504462	221	17	57	1849455	130725.80	8972	503	507993	156940	28890402	97.1	96.9	0.2	0.4	2.5	4046
SRR617735	F16134	404	33	111	1649255	69160.01	6140	505	272146	70199	27940645	97.1	97.0	0.1	0.3	2.6	4046
DRR022926	IFM_59361-2	563	25	92	1094882	51815.01	1738	500	333849	73169	29171853	97.3	97.2	0.1	0.5	2.2	4046
IFM_59056	IFM_59056	626	67	225	499868	44576.88	12109	500	126240	33223	27905126	97.3	97.2	0.1	0.6	2.1	4046
IFM_59361	IFM_59361	960	69	226	425998	30220.11	1867	500	133652	31415	29011304	97.4	97.2	0.2	0.7	1.9	4046
IFM_61578	IFM_61578	981	102	350	318880	28378.27	7561	500	91098	20343	27839086	97.6	97.5	0.1	1.1	1.3	4046
SRR7418926	CM3249	883	127	411	328925	31022.70	17601	502	64532	20398	27393041	97.6	97.5	0.1	1.1	1.3	4046
SRR617743	F18149	561	51	175	538320	50142.98	7789	508	176138	42145	28130209	97.8	97.7	0.1	0.5	1.7	4046
SRR7418940	TP12	2912	128	506	316950	10550.22	855	500	72774	10309	30722243	97.8	97.7	0.1	1.1	1.1	4046
IFM_55369	IFM_55369	768	85	297	410827	36416.37	12398	500	103211	25694	27967770	97.9	97.8	0.1	0.7	1.4	4046
IFM_58026	IFM_58026	987	134	444	208575	28125.98	13618	500	67344	17906	27760339	97.9	97.9	0.0	1.1	1.0	4046
IFM_59777	IFM_59777	1157	102	369	428150	24819.09	3773	500	78232	19869	28715691	97.9	97.8	0.1	0.9	1.2	4046
SRR7418932	akuBKU80	5228	158	1731	333341	6851.86	1282	500	61768	1906	35821546	97.9	97.8	0.1	0.9	1.2	4046
SRR7418934	CEA10	843	98	344	355619	34338.35	12711	502	91642	22425	28947225	97.9	97.8	0.1	1.0	1.1	4046
SRR7418937	CM6126	960	112	392	344623	29787.88	11649	501	77526	20594	28596364	97.9	97.8	0.1	1.2	0.9	4046
SRR7418939	CM7510	834	115	387	398439	34373.34	18100	510	78979	21226	28667369	97.9	97.8	0.1	1.0	1.1	4046
IFM_59356-1	IFM_59356-1	272	40	122	741767	104469.84	53507	500	235731	70861	28415797	98.0	97.9	0.1	0.6	1.4	4046
SRR7418924	CM2730	639	94	304	293857	42899.58	24767	506	94504	26783	27412832	98.0	97.9	0.1	0.9	1.1	4046
IFM_59355-1	IFM_59355-1	358	47	146	743464	79373.30	31631	513	203554	54788	28415641	98.1	98.0	0.1	0.5	1.4	4046
IFM_59355-2	IFM_59355-2	365	53	162	488479	77841.43	34470	513	177554	47901	28412121	98.1	98.0	0.1	0.6	1.3	4046
SRR7418930	CM2495	675	97	325	271243	39739.75	22824	509	85619	24863	26824331	98.1	98.0	0.1	0.8	1.1	4046
SRR7418933	CM7570	457	65	197	466817	60044.84	28617	506	149373	42290	27440494	98.1	97.9	0.2	0.9	1.0	4046
SRR7418948	CM4946	770	93	303	332679	35802.03	12344	501	95878	25886	27567566	98.1	98.0	0.1	0.9	1.0	4046
SRR7418949	CM5757	670	83	291	496389	42470.63	19297	506	108020	27827	28455323	98.1	98.0	0.1	0.8	1.1	4046
SRR7418923	CM2733	688	95	295	287596	39904.13	20121	504	98668	26599	27454039	98.2	98.1	0.1	0.8	1.0	4046
SRR7418928	CM4602	734	98	325	293117	37394.58	19190	503	88260	24666	27447620	98.2	98.1	0.1	0.9	0.9	4046
SRR7418931	AF293	817	96	313	381330	34866.83	11174	506	95480	24854	28486198	98.2	97.9	0.3	0.9	0.9	4046
SRR7418936	CM6458	770	82	293	387769	37085.92	11244	500	102949	24133	28556157	98.2	98.1	0.1	1.0	0.8	4046
SRR7418941	CM7632	708	84	277	453235	40091.97	13880	502	104430	28203	28385112	98.2	98.1	0.1	0.7	1.1	4046
SRR7418943	ATCC_204305	746	89	303	317162	37206.31	13726	504	100487	26636	27755906	98.2	98.1	0.1	0.9	0.9	4046
SRR7418925	CM7560	602	89	285	440366	45072.92	24999	518	97869	26612	27133896	98.3	98.2	0.1	0.8	0.9	4046
SRR7418929	CM3249b	705	101	319	317997	38621.02	21776	505	82758	26262	27227821	98.3	98.2	0.1	0.8	0.9	4046
SRR7418938	CM7555	561	85	277	407655	51269.84	28706	503	108456	29860	28762381	98.3	98.2	0.1	0.8	0.9	4046
SRR7418945	CM3248	793	87	316	375608	35107.84	13377	500	98858	25172	27840516	98.3	98.2	0.1	0.8	0.9	4046
SRR7418946	TP32	690	97	327	315381	40370.16	22675	506	84505	25447	27855411	98.3	98.2	0.1	0.7	1.0	4046
DRR022927	IFM_60237	688	39	131	636333	42667.46	1961	501	253059	60893	29355211	98.4	98.3	0.1	0.4	1.2	4046
SRR7418942	CM237	1067	101	358	414520	27323.64	5440	500	91912	19605	29154325	98.4	98.2	0.2	0.7	0.9	4046
SRR7418944	CM5419	969	104	370	494542	29690.01	8841	501	81189	20589	28769616	98.4	98.3	0.1	0.9	0.7	4046
SRR7418927	CM3720	701	91	288	374429	39171.53	15394	505	98830	26807	27459240	98.5	98.4	0.1	0.7	0.8	4046
IFM_61610	IFM_61610	725	79	265	459269	38538.31	10794	500	109493	29197	27940272	98.6	98.5	0.1	0.7	0.7	4046
