ASFUM08-12-12-13	Aspergillus_fumigatus_08-12-12-13.LCG
ASFUM08-19-02-10	Aspergillus_fumigatus_08-19-02-10.LCG
ASFUM08-19-02-30	Aspergillus_fumigatus_08-19-02-30.LCG
ASFUM08-19-02-46	Aspergillus_fumigatus_08-19-02-46.LCG
ASFUM08-19-02-61	Aspergillus_fumigatus_08-19-02-61.LCG
ASFUM08-31-08-91	Aspergillus_fumigatus_08-31-08-91.LCG
ASFUM08-36-03-25	Aspergillus_fumigatus_08-36-03-25.LCG
ASFUM09-7500806	Aspergillus_fumigatus_09-7500806.LCG
ASFUM10-01-02-27	Aspergillus_fumigatus_10-01-02-27.LCG
ASFUM117535A-1	Aspergillus_fumigatus_117535A-1.1.LCG
ASFUM12-7504462	Aspergillus_fumigatus_12-7504462.LCG
ASFUM12-7504652	Aspergillus_fumigatus_12-7504652.LCG
ASFUM12-7505054	Aspergillus_fumigatus_12-7505054.LCG
ASFUM12-7505220	Aspergillus_fumigatus_12-7505220.LCG
ASFUM12-7505446	Aspergillus_fumigatus_12-7505446.LCG
ASFUM1F1SW-F4	Aspergillus_fumigatus_1F1SW_F4.LCG
ASFUM84-NIH	Aspergillus_fumigatus_84-NIH.LCG
A1159	Aspergillus_fumigatus_A1159.LCG
A1163	Aspergillus_fumigatus_A1163.LCG
AF100-10-5	Aspergillus_fumigatus_AF100-10_5.LCG
AF100-10A	Aspergillus_fumigatus_AF100-10A.LCG
AF100-10B	Aspergillus_fumigatus_AF100-10B.LCG
AF100-10C	Aspergillus_fumigatus_AF100-10C.LCG
AF100-11-3	Aspergillus_fumigatus_AF100-11_3.LCG
AF100-11A	Aspergillus_fumigatus_AF100-11A.LCG
AF100-11B	Aspergillus_fumigatus_AF100-11B.LCG
AF100-11C	Aspergillus_fumigatus_AF100-11C.LCG
AF100-12-10	Aspergillus_fumigatus_AF100-12_10.LCG
AF100-12-13	Aspergillus_fumigatus_AF100-12_13.LCG
AF100-12-17	Aspergillus_fumigatus_AF100-12_17.LCG
AF100-12-18	Aspergillus_fumigatus_AF100-12_18.LCG
AF100-12-21	Aspergillus_fumigatus_AF100-12_21.LCG
AF100-12-23	Aspergillus_fumigatus_AF100-12_23.LCG
AF100-12-24	Aspergillus_fumigatus_AF100-12_24.LCG
AF100-12-25	Aspergillus_fumigatus_AF100-12_25.LCG
AF100-12-26	Aspergillus_fumigatus_AF100-12_26.LCG
AF100-12-27	Aspergillus_fumigatus_AF100-12_27.LCG
AF100-12-2	Aspergillus_fumigatus_AF100-12_2.LCG
AF100-12-2W	Aspergillus_fumigatus_AF100-12_2W.LCG
AF100-12-32	Aspergillus_fumigatus_AF100-12_32.LCG
AF100-12-35	Aspergillus_fumigatus_AF100-12_35.LCG
AF100-12-37	Aspergillus_fumigatus_AF100-12_37.LCG
AF100-12-38	Aspergillus_fumigatus_AF100-12_38.LCG
AF100-12-39	Aspergillus_fumigatus_AF100-12_39.LCG
AF100-12-3G	Aspergillus_fumigatus_AF100-12_3G.LCG
AF100-12-3	Aspergillus_fumigatus_AF100-12_3.LCG
AF100-12-40	Aspergillus_fumigatus_AF100-12_40.LCG
AF100-12-43	Aspergillus_fumigatus_AF100-12_43.LCG
AF100-12-4	Aspergillus_fumigatus_AF100-12_4.LCG
AF100-12-5	Aspergillus_fumigatus_AF100-12_5.LCG
AF100-12-7G	Aspergillus_fumigatus_AF100-12_7G.LCG
AF100-12-7	Aspergillus_fumigatus_AF100-12_7.LCG
AF100-12-8	Aspergillus_fumigatus_AF100-12_8.LCG
AF100-12-9	Aspergillus_fumigatus_AF100-12_9.LCG
AF106-6-2	Aspergillus_fumigatus_AF106-6_2.LCG
AF106-6-3	Aspergillus_fumigatus_AF106-6_3.LCG
AF106-6-5	Aspergillus_fumigatus_AF106-6_5.LCG
AF106-6-9	Aspergillus_fumigatus_AF106-6_9.LCG
Af10	Aspergillus_fumigatus_Af10.LCG
AF210	Aspergillus_fumigatus_AF210.LCG
Af293	Aspergillus_fumigatus_Af293.LCG
AF293	Aspergillus_fumigatus_AF293.LCG
AF293-VKBR1	Aspergillus_fumigatus_AF293-VKBR1.LCG
AF293-VKBR3	Aspergillus_fumigatus_AF293-VKBR3.LCG
AF293-VKWH2	Aspergillus_fumigatus_AF293-VKWH2.LCG
AF300	Aspergillus_fumigatus_AF300.LCG
AF41	Aspergillus_fumigatus_AF41.LCG
Af65	Aspergillus_fumigatus_Af65.LCG
AF72	Aspergillus_fumigatus_AF72.LCG
AF90	Aspergillus_fumigatus_AF90.LCG
AFIS-13708-CDC-14	Aspergillus_fumigatus_AFIS_13708_CDC-14.LCG
AFIS1435-CDC-6	Aspergillus_fumigatus_AFIS1435_CDC_6.LCG
AFIS-2101-CDC-1	Aspergillus_fumigatus_AFIS_2101_CDC-1.LCG
AFIS-2302-CDC-18	Aspergillus_fumigatus_AFIS_2302_CDC-18.LCG
AFIS-23107-CDC-12	Aspergillus_fumigatus_AFIS_23107_CDC-12.LCG
Af-M1509-D	Aspergillus_fumigatus_Af-M1509-D.LCG
Afu-1042-09	Aspergillus_fumigatus_Afu_1042_09.LCG
Afu-124-E11	Aspergillus_fumigatus_Afu_124_E11.LCG
Afu-166-E11	Aspergillus_fumigatus_Afu_166_E11.LCG
Afu-218-E11	Aspergillus_fumigatus_Afu_218_E11.LCG
Afu-257-E11	Aspergillus_fumigatus_Afu_257_E11.LCG
Afu-343-P-11	Aspergillus_fumigatus_Afu_343_P_11.LCG
Afu-591-12	Aspergillus_fumigatus_Afu_591_12.LCG
Afu-942-09	Aspergillus_fumigatus_Afu_942_09.LCG
AFUG-031815-1869	Aspergillus_fumigatus_AFUG_031815-1869.LCG
AFUG-082015-1200	Aspergillus_fumigatus_AFUG_082015-1200.LCG
AFUG-100413-0667	Aspergillus_fumigatus_AFUG_100413-0667.LCG
AP65	Aspergillus_fumigatus_AP65.LCG
ATCC-204305	Aspergillus_fumigatus_ATCC_204305.LCG
ATCC-46645	Aspergillus_fumigatus_ATCC_46645.LCG
ATCC46645	Aspergillus_fumigatus_ATCC46645.LCG
AZTEC-10-245	Aspergillus_fumigatus_AZTEC_10_245.LCG
AZTEC-11-1066	Aspergillus_fumigatus_AZTEC_11_1066.LCG
AZTEC-12-128	Aspergillus_fumigatus_AZTEC_12_128.LCG
AZTEC-1-235	Aspergillus_fumigatus_AZTEC_1_235.LCG
AZTEC-13-751	Aspergillus_fumigatus_AZTEC_13_751.LCG
AZTEC-14-484	Aspergillus_fumigatus_AZTEC_14_484.LCG
AZTEC-16-237	Aspergillus_fumigatus_AZTEC_16_237.LCG
AZTEC-17-234	Aspergillus_fumigatus_AZTEC_17_234.LCG
AZTEC-18-233	Aspergillus_fumigatus_AZTEC_18_233.LCG
AZTEC-19-231	Aspergillus_fumigatus_AZTEC_19_231.LCG
AZTEC-20-243	Aspergillus_fumigatus_AZTEC_20_243.LCG
AZTEC-2-251	Aspergillus_fumigatus_AZTEC_2_251.LCG
AZTEC-3-226	Aspergillus_fumigatus_AZTEC_3_226.LCG
AZTEC-4-250	Aspergillus_fumigatus_AZTEC_4_250.LCG
AZTEC-5-223	Aspergillus_fumigatus_AZTEC_5_223.LCG
AZTEC-6-232	Aspergillus_fumigatus_AZTEC_6_232.LCG
AZTEC-7-225	Aspergillus_fumigatus_AZTEC_7_225.LCG
AZTEC-8-224	Aspergillus_fumigatus_AZTEC_8_224.LCG
AZTEC-9-222	Aspergillus_fumigatus_AZTEC_9_222.LCG
B5224-CDC-21	Aspergillus_fumigatus_B5224_CDC-21.LCG
B5257-CDC-28	Aspergillus_fumigatus_B5257_CDC-28.LCG
B5258-CDC-22	Aspergillus_fumigatus_B5258_CDC_22.LCG
B5259-CDC-23	Aspergillus_fumigatus_B5259_CDC-23.LCG
B5269-CDC-24	Aspergillus_fumigatus_B5269_CDC-24.LCG
B5288-CDC-16	Aspergillus_fumigatus_B5288_CDC-16.LCG
B5289-CDC-25	Aspergillus_fumigatus_B5289_CDC-25.LCG
B5460-CDC-13	Aspergillus_fumigatus_B5460_CDC-13.LCG
B5461-CDC-2	Aspergillus_fumigatus_B5461_CDC-2.LCG
B5852	Aspergillus_fumigatus_B5852.LCG
B5854	Aspergillus_fumigatus_B5854.LCG
B5856	Aspergillus_fumigatus_B5856.LCG
B5859	Aspergillus_fumigatus_B5859.LCG
B5863	Aspergillus_fumigatus_B5863.LCG
B5866	Aspergillus_fumigatus_B5866.LCG
B5868	Aspergillus_fumigatus_B5868.LCG
B5960-CDC-29	Aspergillus_fumigatus_B5960_CDC_29.LCG
B6069	Aspergillus_fumigatus_B6069.LCG
B6074	Aspergillus_fumigatus_B6074.LCG
B6078	Aspergillus_fumigatus_B6078.LCG
B6079	Aspergillus_fumigatus_B6079.LCG
B6081	Aspergillus_fumigatus_B6081.LCG
B6892-CDC-3	Aspergillus_fumigatus_B6892_CDC-3.LCG
B6893-CDC-4	Aspergillus_fumigatus_B6893_CDC-4.LCG
B6894-CDC-5	Aspergillus_fumigatus_B6894_CDC_5.LCG
B72911-CDC-15	Aspergillus_fumigatus_B72911_CDC-15.LCG
B7444-CDC-7	Aspergillus_fumigatus_B7444_CDC-7.LCG
B7518-CDC-26	Aspergillus_fumigatus_B7518_CDC-26.LCG
B7586-CDC-30	Aspergillus_fumigatus_B7586_CDC-30.LCG
B7594-CDC-27	Aspergillus_fumigatus_B7594_CDC_27.LCG
B9781-CDC-19	Aspergillus_fumigatus_B9781_CDC-19.LCG
C56A111	Aspergillus_fumigatus_C56A.1-1.1.LCG
CEA10-2	Aspergillus_fumigatus_CEA10-2.LCG
CEA10	Aspergillus_fumigatus_CEA10.LCG
CEA10-MCH	Aspergillus_fumigatus_CEA10-MCH.LCG
CF098	Aspergillus_fumigatus_CF098.LCG
CF337	Aspergillus_fumigatus_CF337.LCG
CM2141	Aspergillus_fumigatus_CM2141.LCG
CM237	Aspergillus_fumigatus_CM237.LCG
CM2495	Aspergillus_fumigatus_CM2495.LCG
CM2730	Aspergillus_fumigatus_CM2730.LCG
CM2733	Aspergillus_fumigatus_CM2733.LCG
CM3248	Aspergillus_fumigatus_CM3248.LCG
CM3249b	Aspergillus_fumigatus_CM3249b.LCG
CM3249	Aspergillus_fumigatus_CM3249.LCG
CM3262	Aspergillus_fumigatus_CM3262.LCG
CM3720	Aspergillus_fumigatus_CM3720.LCG
CM4602	Aspergillus_fumigatus_CM4602.LCG
CM4946	Aspergillus_fumigatus_CM4946.LCG
CM5419	Aspergillus_fumigatus_CM5419.LCG
CM5757	Aspergillus_fumigatus_CM5757.LCG
CM6458	Aspergillus_fumigatus_CM6458.LCG
CM7510	Aspergillus_fumigatus_CM7510.LCG
CM7555	Aspergillus_fumigatus_CM7555.LCG
CM7560	Aspergillus_fumigatus_CM7560.LCG
CM7570	Aspergillus_fumigatus_CM7570.LCG
CM7632	Aspergillus_fumigatus_CM7632.LCG
COH-1192	Aspergillus_fumigatus_COH_1192.LCG
COH-371	Aspergillus_fumigatus_COH_371.LCG
COH-400	Aspergillus_fumigatus_COH_400.LCG
COH-694	Aspergillus_fumigatus_COH_694.LCG
COH-762	Aspergillus_fumigatus_COH_762.LCG
COH-880	Aspergillus_fumigatus_COH_880.LCG
COH-885	Aspergillus_fumigatus_COH_885.LCG
COH-913	Aspergillus_fumigatus_COH_913.LCG
COH-934	Aspergillus_fumigatus_COH_934.LCG
D17	Aspergillus_fumigatus_D17.LCG
DMC2AF100-1-11	Aspergillus_fumigatus_DMC2_AF100-1_11.LCG
DMC2-AF100-1-14	Aspergillus_fumigatus_DMC2_AF100-1_14.LCG
DMC2AF100-1-15	Aspergillus_fumigatus_DMC2_AF1001_15.LCG
DMC2AF100-1-18	Aspergillus_fumigatus_DMC2_AF100-1_18.LCG
DMC2AF100-1-20C	Aspergillus_fumigatus_DMC2_AF100-1_20_C.LCG
DMC2-AF100-1-20-OE	Aspergillus_fumigatus_DMC2_AF100-1_20_OE.LCG
DMC2-AF100-12-42	Aspergillus_fumigatus_DMC2_AF100-12_42.LCG
DMC2-AF100-1-24	Aspergillus_fumigatus_DMC2_AF100-1_24.LCG
DMC2-AF100-12-9	Aspergillus_fumigatus_DMC2_AF100-12_9.LCG
DMC2AF100-1-3	Aspergillus_fumigatus_DMC2_AF100-1_3.LCG
DMC2-AF100-1-4	Aspergillus_fumigatus_DMC2_AF100-1_4.LCG
DMC2AF100-1-8	Aspergillus_fumigatus_DMC2_AF100-1_8.LCG
DMC2-AF100-2B	Aspergillus_fumigatus_DMC2_AF100-2B.LCG
DMC2-AF100-3B	Aspergillus_fumigatus_DMC2_AF100-3B.LCG
DMC2-AF100-4B	Aspergillus_fumigatus_DMC2_AF100-4B.LCG
DMC2-AF100-5B	Aspergillus_fumigatus_DMC2_AF100-5B.LCG
DMC2-AF100-6B	Aspergillus_fumigatus_DMC2_AF100-6B.LCG
DMC2AF100-7B	Aspergillus_fumigatus_DMC2_AF100-7B.LCG
DMC2-AF100-8B	Aspergillus_fumigatus_DMC2_AF100-8B.LCG
DMC2-AF100-9B	Aspergillus_fumigatus_DMC2_AF100-9B.LCG
DMC-AF100-1-11	Aspergillus_fumigatus_DMC_AF100-1_11.LCG
DMC-AF100-1-14	Aspergillus_fumigatus_DMC_AF100-1_14.LCG
DMC-AF1001-15	Aspergillus_fumigatus_DMC_AF1001_15.LCG
DMC-AF100-1-18	Aspergillus_fumigatus_DMC_AF100-1_18.LCG
DMC-AF100-1-20-C	Aspergillus_fumigatus_DMC_AF100-1_20_C.LCG
